Index: 0, Obs: 23.48050, Tipo de mensaje: m2
Index: 1, Obs: 20.87076, Tipo de mensaje: m2
Index: 2, Obs: 15.34180, Tipo de mensaje: m2
Index: 3, Obs: 17.91586, Tipo de mensaje: m2
Index: 4, Obs: 26.37196, Tipo de mensaje: m2
Index: 5, Obs: 16.03250, Tipo de mensaje: m2
Index: 6, Obs: 17.38872, Tipo de mensaje: m2
Index: 7, Obs: 20.46551, Tipo de mensaje: m2
Index: 8, Obs: 21.07889, Tipo de mensaje: m2
Index: 9, Obs: 14.71417, Tipo de mensaje: m1
Index: 10, Obs: 24.89222, Tipo de mensaje: m2
Index: 11, Obs: 19.73623, Tipo de mensaje: m2
Index: 12, Obs: 18.61939, Tipo de mensaje: m2
Index: 13, Obs: 27.45090, Tipo de mensaje: m2
Index: 14, Obs: 11.06052, Tipo de mensaje: m1
Index: 15, Obs: 21.85277, Tipo de mensaje: m2
Index: 16, Obs: 25.50945, Tipo de mensaje: m2
Index: 17, Obs: 14.65618, Tipo de mensaje: m1
Index: 18, Obs: 15.53881, Tipo de mensaje: m2
Index: 19, Obs: 12.26927, Tipo de mensaje: m1
Index: 20, Obs: 22.48664, Tipo de mensaje: m2
Index: 21, Obs: 22.68827, Tipo de mensaje: m2
Index: 22, Obs: 16.00222, Tipo de mensaje: m2
Index: 23, Obs: 23.27596, Tipo de mensaje: m2
Index: 24, Obs: 23.63351, Tipo de mensaje: m2
Index: 25, Obs: 23.18162, Tipo de mensaje: m2
Index: 26, Obs: 22.35435, Tipo de mensaje: m2
Index: 27, Obs: 19.71275, Tipo de mensaje: m2
Index: 28, Obs: 22.76444, Tipo de mensaje: m2
Index: 29, Obs: 22.35600, Tipo de mensaje: m2
Index: 30, Obs: 16.65475, Tipo de mensaje: m2
Index: 31, Obs: 18.90730, Tipo de mensaje: m2
Index: 32, Obs: 23.71370, Tipo de mensaje: m2
Index: 33, Obs: 27.64985, Tipo de mensaje: m2
Index: 34, Obs: 18.04230, Tipo de mensaje: m2
Index: 35, Obs: 20.36192, Tipo de mensaje: m2
Index: 36, Obs: 28.33612, Tipo de mensaje: m2
Index: 37, Obs: 22.06474, Tipo de mensaje: m2
Index: 38, Obs: 20.49545, Tipo de mensaje: m2
Index: 39, Obs: 13.11078, Tipo de mensaje: m1
Index: 40, Obs: 24.84325, Tipo de mensaje: m2
Index: 41, Obs: 20.70198, Tipo de mensaje: m2
Index: 42, Obs: 14.67495, Tipo de mensaje: m1
Index: 43, Obs: 19.31714, Tipo de mensaje: m2
Index: 44, Obs: 18.96972, Tipo de mensaje: m2
Index: 45, Obs: 17.84497, Tipo de mensaje: m2
Index: 46, Obs: 18.55236, Tipo de mensaje: m2
Index: 47, Obs: 23.55163, Tipo de mensaje: m2
Index: 48, Obs: 14.35024, Tipo de mensaje: m1
Index: 49, Obs: 17.44079, Tipo de mensaje: m2
Index: 50, Obs: 18.93703, Tipo de mensaje: m2
Index: 51, Obs: 14.97687, Tipo de mensaje: m1
Index: 52, Obs: 24.50751, Tipo de mensaje: m2
Index: 53, Obs: 24.65446, Tipo de mensaje: m2
Index: 54, Obs: 18.35853, Tipo de mensaje: m2
Index: 55, Obs: 23.24095, Tipo de mensaje: m2
Index: 56, Obs: 19.80847, Tipo de mensaje: m2
Index: 57, Obs: 24.71757, Tipo de mensaje: m2
Index: 58, Obs: 23.25985, Tipo de mensaje: m2
Index: 59, Obs: 16.25782, Tipo de mensaje: m2
Index: 60, Obs: 16.73119, Tipo de mensaje: m2
Index: 61, Obs: 19.68419, Tipo de mensaje: m2
Index: 62, Obs: 8.65972, Tipo de mensaje: m1
Index: 63, Obs: 19.13929, Tipo de mensaje: m2
Index: 64, Obs: 18.09316, Tipo de mensaje: m2
